STT	Từ vựng	Nghĩa
499	유학하다	To study abroad
500	장학금	ScholarshipSTT	Từ vựng	Nghĩa
501	전공하다	To major in
502	점수	Score / Grade / Marks
503	정보학	Information Science / Informatics
504	졸업증	Diploma / Graduation certificate
505	졸업증명서	Graduation certificate
506	졸업하다	To graduate
507	종	Bell
508	질문하다	To ask a question
509	토론하다	To discuss / To debate
510	학기	Semester / Academic term
511	학기말	End of semester
512	학기초	Beginning of semester
513	학년	School year / Grade level
514	학력	Educational background / Academic attainment
515	학비	Tuition / School expenses
516	학사	Bachelor / Bachelor's degree
517	갈다	To grind / To mill
518	합격	Passing (an exam) / Success
519	굽다	To grill / To roast / To bake
520	삶다	To boil (food)
521	볶다	To stir-fry / To fry
522	찌다	To steam
523	튀기다 	To deep-fry
524	조리다	To simmer / To braise
525	부치다	To pan-fry
526	끓이다	To boil / To cook (soup, noodles)
527	얼리다	To freeze
528	녹이다	To melt / To thaw / To defrost
529	다듬다	To trim / To clean (ingredients)
530	다지다	To mince / To chop finely
531	절이다	To pickle / To salt / To marinate
532	버무리다	To mix / To toss (with seasoning)
533	채를 치다	To shred / To julienne
534	데치다	To blanch / To scald
535	뒤집다	To flip / To turn over
536	무치다	To season / To mix with spices
537	반죽하다	To knead / To mix dough
538	썰다	To slice / To chop
539	껍질을 까다	To peel / To shell
540	자르다	To cut
541	젓다	To stir
542	익다 [익었어요]	To be cooked / To be ripe
543	아직 안 익다 [아직 안 익었어요] 	Not yet cooked / Unripe
544	타다	To burn (food)
545	펴다	To spread out / To flatten
546	깨물다	To bite / To gnaw
547	나눠 먹다	To share food / To eat together
548	남기다	To leave behind (food)
549	덜다	To reduce / To ladle out a portion
550	삼키다	To swallow
551	식히다	To let cool down
552	씹다	To chew
553	편식하다	To be a picky eater
554	푸다	To scoop / To serve (rice, soup)
555	한턱내다	To treat / To buy a meal
556	고소하다	To be nutty / To have a savory roasted flavor
557	구수하다	To be savory / To have a rich roasted aroma
558	뜨겁다	To be hot (temperature)
559	차갑다	To be cold (temperature)
560	푸짐하다	To be plentiful / To be generous (portion)
561	간을 맞추다	To season to taste / To adjust seasoning
562	펄펄 끓다	To boil vigorously / To boil hard
563	김치를 담그다	To make kimchi
564	냄새를 맡다	To smell / To catch a scent
565	맛있는 냄새가 나다	To smell delicious
566	불판을 갈다	To change the grill plate
567	상을 차리다	To set the table
568	솜씨가 좋다	To be skillful / To be good at cooking
569	양이 많다	To have a large portion / High quantity
570	영양이 풍부하다	To be rich in nutrients
571	입맛이 없다	To have no appetite
572	입에 맞다	To suit one's taste
573	입에서 살살 녹다	To melt in one's mouth
574	장기간 보존이 가능하다	Can be stored for a long time
575	조리법	Recipe / Cooking method
576	포장해서 가져가다	To order to go / To take out
577	향이 좋다	To have a pleasant aroma
578	U턴 금지 	No U-turn
579	고속버스 터미널	Express bus terminal
580	고속버스	Express bus
581	시내버스	City bus / Local bus
582	시외버스 	Intercity bus
583	버스 정류장	Bus stop
584	고속도로	Highway / Expressway
585	지하도 	Underpass / Underground passage
586	교통카드	Transit card / Transportation card
587	내리는 문	Exit door (get-off door)
588	노선도	Route map
589	다음 정류장	Next stop
590	육교	Pedestrian overpass / Footbridge
591	길	Road / Street / Way
592	큰길	Main street / Main road
593	지름길	Shortcut
594	삼거리	Three-way intersection / T-junction
595	사거리 	Crossroads / Four-way intersection
596	신호등	Traffic light
597	여객선 터미널	Passenger ferry terminal
598	역무원	Station employee / Station staff
599	왕복	Round trip
600	편도	One-way
601	운전면허증	Driver's license
602	직행	Direct / Express / Non-stop
603	초보운전	Beginner driver / Novice driver
604	환승역	Transfer station
605	종착역	Terminal station / Last stop
606	지하철역	Subway station
607	표지판	Signpost / Traffic sign
608	사고 	Accident
609	뺑소니 사고	Hit-and-run accident
610	초보 운전자	Beginner driver
611	주차위반/불법주차	Illegal parking / Parking violation
612	신호위반	Traffic signal violation / Running a red light
613	불법유턴	Illegal U-turn
614	무단 횡단	Jaywalking
615	졸음운전	Drowsy driving
616	난폭운전	Reckless driving
617	음주운전	Drunk driving / DUI
618	음주단속	Sobriety checkpoint / DUI crackdown
619	면허정지	License suspension
620	면허취소	License revocation / Cancellation
621	우회 도로	Detour road / Bypass
622	중앙 분리대	Median strip / Central reservation
623	좌회전	Left turn
624	우회전	Right turn
625	교통사고	Traffic accident
626	교통 체증	Traffic jam / Traffic congestion
627	통행금지	No thoroughfare / Closed to traffic
628	제한 속도	Speed limit
629	위험	Danger / Hazard
630	방향	Direction
631	갈아타다	To transfer (transit)
632	직진하다	To go straight
633	복잡하다	To be crowded / Complex
634	붐비다	To be crowded / Bustling
635	혼잡하다	To be congested / Crowded
636	드라이브 하다	To go for a drive
637	차가 밀리다	Traffic is backed up
638	길이 막히다	Road is blocked / Heavy traffic
639	빵꾸가 나다/펑크가 나다	To get a flat tire
640	끼어들다	To cut in / To merge recklessly
641	사고 나다	An accident occurs
642	안전벨트를 매다	To fasten seatbelt
643	시동걸다	To start the engine
644	속도를 높이다	To speed up / To accelerate
645	속도를 늦추다	To slow down / To decelerate
646	후진하다	To reverse / To back up
647	주유하다/기름을 넣다	To refuel / To get gas
648	세차하다	To wash a car
649	속도위반 하다	To speed / Violation of speed limit
650	교통이 편리하다  	Transportation is convenient
651	교통이 불편하다	Transportation is inconvenient
652	교통카드를 충전하다	To reload/recharge a transit card
653	길이 막히다	Traffic is jammed
654	단말기에 카드를 대다	To tap card on the terminal
655	반대 방향으로 가는 차를 타다	To take a ride in the opposite direction
656	서서 가다	To stand while traveling
657	손잡이 잡다	To hold on to the handrail
658	앉아서 가다	To sit while traveling
659	역을 지나치다	To miss or pass one's stop/station
660	택시를 잡다	To hail/catch a taxi
661	버스를 놓치다	To miss the bus
662	한 걸음   물러서다	To step back one pace
663	출급카드	Timecard / Attendance card
664	보너스	Bonus
665	봉급	Salary / Pay
666	월급명세서 	Pay stub / Salary statement
667	기본월급	Base salary
668	최저 봉급	Minimum wage / Minimum salary
669	연봉 	Annual salary
670	월급 	Monthly salary
671	보수	Remuneration / Pay
672	특근수당	Holiday work allowance / Sunday pay
673	잔업수당	Overtime allowance
674	초과근무 수당	Overtime pay
675	수당	Allowance / Extra pay
676	심야수당	Night shift allowance
677	유해수당 	Hazardous duty allowance
678	월급날 	Payday
679	퇴직금	Severance pay / Retirement pay
680	공제	Deduction
681	의료보험료	Health insurance premium
682	의료보험카드	Health insurance card
683	상금	Reward / Prize money
684	기율	Discipline
685	건설 회사	Construction company
686	보험 회사 	Insurance company
687	무역 회사 	Trading company
688	증권 회사	Securities firm / Brokerage firm
689	가전제품 회사	Home appliances company
690	가전제품 회사	Home appliances company
691	대기업	Large conglomerate / Big enterprise
692	중소기업	Small and medium-sized enterprise (SME)
693	공장	Factory / Plant
694	사무실	Office
695	부서	Department / Division
696	경리부	Accounting department
697	관리부 	Management department
698	총무부	General affairs department
699	무역부	Trade / Import-Export department
700	업무부	Operations / Business affairs department
701	생산부	Production department
702	검사반	Inspection team / QC team
703	포장반	Packaging team
704	가공반	Processing team
705	완성반	Finishing team
706	광고문	Advertisement notice / Public notice
707	채용정보	Job posting / Recruitment information
708	취업	Employment / Getting a job
709	입사	Joining a company
710	사무직 	Clerical job / Desk job
711	전문직	Professional job / Specialist position
712	기능직	Technical job / Skilled labor
713	영업직	Sales position
714	이력서	Resume / CV
715	지원서 	Application form
716	경력 증명서	Certificate of employment / Career certificate
717	학력	Educational background
718	경력	Work experience / Career history
719	적성	Aptitude
720	지원 동기	Motivation for applying
721	추천서 	Recommendation letter
722	성적 증명서	Transcript / Academic record
723	졸업 증명서	Graduation certificate
724	자기소개서	Cover letter / Personal statement
725	적성에 맞다	To suit one's aptitude
726	인터넷 접수	Online application submission
727	합격자 발표	Announcement of successful applicants
728	지원서를 쓰다	To write an application form
729	방문 접수	In-person application submission
730	제출 서류	Required documents for submission
731	서류 마감	Application deadline
732	우편 접수	Mail application submission
733	서류를 접수하다	To receive application documents
734	필기시험을 보다	To take a written exam
735	면접시험을 보다	To take an interview exam
736	공문	Official document
737	출퇴근 버스 	Commuter bus / Company shuttle
738	면직하다	To dismiss from office / To discharge
739	사회보험	Social insurance
740	보건보험	Health insurance
741	출장가다	To go on a business trip
742	지각하다	To be late / To arrive late
743	노동계약	Employment contract / Labor contract
744	건강진단	Health checkup / Medical exam
745	근무일	Working day
746	휴일	Holiday / Day off
747	연차휴가	Annual leave / Paid vacation
748	규칙	Rule / Regulation
749	해고 	Dismissal / Fire
750	해고를 당하다 	To get fired / To be dismissed
751	입사하다	To join a company
752	합격이 되다	To be accepted / To pass
753	조퇴하다 	To leave work early
754	의장님/ 이사님	Chairman / Executive Board Member
755	씨이오	CEO
756	마케팅 담당자님	Marketing Manager / Director
757	세일 매니저님	Sales Manager
758	고객서비스팀 매니저님	Customer Service Team Manager
759	개인담당 매니저님/ 퍼스널 디렉터 님	HR Director / Personal Manager
760	인사관리 매니저님	HR Manager
761	오피스 매니저님	Office Manager
762	기술관리자님	Technical Manager / CTO
763	연구 개발 매니저님	R&D Manager
764	프로덕션 담당자님	Production Manager
765	공장장님	Plant Manager / Factory Manager
766	상무	Managing Director / Executive Vice President
767	이사	Director / Board Member
768	사모님	Madam / Boss's wife
769	상사	Superior / Boss
770	부사장 	Vice PresidentSTT	Từ vựng	Nghĩa
771	회사비서	Company secretary / Executive secretary
772	최고 회계사님 	Chief accountant
773	과장	Manager / Section chief
774	대리 	Assistant manager / Deputy section chief
775	반장	Shift leader / Foreman
776	전무	Senior Managing Director
777	차장	Deputy manager / Associate director
778	관리자	Manager / Administrator / Supervisor
779	근로자 	Worker / Employee / Laborer
780	동료	Colleague / Co-worker
781	사원	Employee / Staff member
782	부하 직원	Subordinate / Junior employee
783	경력 사원	Experienced employee
784	정규 사원	Regular employee / Permanent staff
785	인턴사원/ 수습사원	Intern / Probationary employee
786	신입사원	New employee / Entry-level employee
787	청소아주머니	Cleaning lady / Custodian
788	외국인근로자	Foreign worker
789	불법자	Undocumented person / Illegal worker
790	경비아저씨	Security guard
791	식당아주머니	Cafeteria worker / Cook lady
792	의사	Doctor / Physician
793	유모	Nanny / Wet nurse
794	번역	Translator / Translation
795	군인	Soldier / Military officer
796	웨이터	Waiter
797	웨이트리스	Waitress
798	가수 	Singer
799	경찰관	Police officer
800	교통 경찰관	Traffic police officer
801	선수	Athlete / Player
802	공증인	Notary public
803	국가주석	State President
804	배우, 연주자	Actor / Performer
805	영화배우	Movie actor / Film star
806	유학생 	International student / Study abroad student
807	약사	Pharmacist
808	감독	Director / Head coach
809	요리사	Chef / Cook
810	가정교사 	Tutor / Private teacher
811	사장	Company President / CEO
812	교수	Professor
813	선생님	Teacher
814	교장	Principal / Headmaster
815	화가	Painter / Artist
816	학생 	Student
817	초등학생 	Elementary school student
818	중학생	Middle school student
819	고등학생	High school student
820	안내원	Guide / Information desk clerk
821	관광 안내원	Tour guide
822	산림감시원 	Forest ranger / Forest guard
823	과학자	Scientist
824	운전기사	Driver
825	컴퓨터프로그래머	Computer programmer
826	소방관	Firefighter
827	변호사	Lawyer / Attorney
828	주부	Homemaker / Housewife
829	농부	Farmer
830	도예가	Potter / Ceramic artist
831	연예인	Entertainer / Celebrity
832	어부 	Fisherman
833	진행자	Host / Presenter / MC
834	문지기 	Gatekeeper / Doorkeeper
836	가정부, 집사	Housekeeper / Butler
837	택시 기사	Taxi driver
838	노동자	Laborer / Worker
839	성우	Voice actor / Voice actress
840	모델	Model
841	통역사	Interpreter
842	문학가 	Writer / Man of letters
843	작곡가	Composer
844	악단장	Bandmaster / Conductor
845	판매원	Salesperson / Sales clerk
846	경비원 	Security guard
847	우체국사무원	Post office clerk
848	공무원	Civil servant / Public official
849	회사원	Office worker / Corporate employee
850	여행사직원 	Travel agent / Travel agency staff
851	배달원	Delivery person
852	기상요원	Weather forecaster / Meteorologist
853	회계원	Accountant / Bookkeeper
854	부동산중개인	Real estate agent / Realtor
855	은행원	Bank teller / Bank clerk
856	접수원 	Receptionist
857	상담원	Counselor / Consultant
858	사진작가	Photographer
859	아나운서	Announcer / News anchor
860	비행기조종사	Pilot
861	부장	Department head / General manager
862	기자	Reporter / Journalist
863	공장장	Factory manager / Plant superintendent
864	파출부	Housekeeper / Cleaning woman
865	대학생	University student / College student
866	작가	Author / Writer
867	운전사 	Driver
868	박사	Ph.D. / Doctor / Doctorate
869	회장	Chairman / Group Chairman
870	대통령	President (of a country)
871	연수생	Trainee
872	석사	Master's degree
873	국회의원 	Member of National Assembly / Congressman
874	이발사	Barber
875	기계공	Mechanic / Machinist
876	꽃장수	Florist / Flower vendor
877	사진사	Photographer
878	전기기사	Electrician
879	용접공	Welder
880	인쇄공	Printer / Press operator
881	보석상인	Jeweler
882	안경사	Optician
883	제빵사	Baker
884	미용사	Hairdresser / Beautician
885	원예가	Horticulturist / Gardener
886	재단사	Tailor
887	갱내부	Miner / Underground worker
888	목수	Carpenter
889	철근공 	Rebar worker / Ironworker
890	페인트공	Painter (house/building)
891	수리자	Repairer / Technician
892	정비사 	Mechanic / Maintenance technician
893	배관공	Plumber
894	선반공	Lathe operator / Machinist
895	총리	Prime Minister
